VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth,Pass/Fail,Percentage
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,5E-06,5E-06,27,Fail,50.76,23300000,72.33,6.03E-05,-83.88,69.17,128000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,5E-06,5E-06,125,Fail,49.86,23600000,69.06,7.63E-05,-84.08,68.1,109000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,5E-06,1E-05,27,Fail,51.13,22900000,61.23,6.03E-05,-74.31,70.75,122000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,5E-06,1E-05,125,Fail,50.07,23000000,58.89,7.62E-05,-74.01,69.24,105000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,5E-06,1.5E-05,27,Fail,51.28,22600000,58.48,6.03E-05,-71.69,70.78,117000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,5E-06,1.5E-05,125,Fail,50.12,22700000,56.25,7.62E-05,-71.2,69.16,102000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1E-05,5E-06,27,Fail,51.34,23100000,73.16,5.34E-05,-85.43,65.26,139000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1E-05,5E-06,125,Fail,50.41,23300000,69.61,6.85E-05,-86.27,64.25,118000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1E-05,1E-05,27,Fail,51.72,22800000,62.12,5.34E-05,-76,67.05,132000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1E-05,1E-05,125,Fail,50.63,23000000,59.45,6.84E-05,-76.25,65.57,113000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1E-05,1.5E-05,27,Fail,51.87,22400000,59.4,5.34E-05,-73.42,67.13,127000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1E-05,1.5E-05,125,Fail,50.69,22600000,56.84,6.84E-05,-73.42,65.53,110000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1.5E-05,5E-06,27,Fail,51.57,22900000,73.47,5.09E-05,-86.28,62.55,144000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1.5E-05,5E-06,125,Fail,50.64,23100000,69.73,6.54E-05,-87.68,61.62,122000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1.5E-05,1E-05,27,Fail,51.95,22600000,62.45,5.08E-05,-77.03,64.46,137000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1.5E-05,1E-05,125,Fail,50.87,22800000,59.56,6.54E-05,-77.74,63.04,117000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1.5E-05,1.5E-05,27,Fail,52.11,22300000,59.74,5.08E-05,-74.48,64.6,132000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3E-05,1.5E-05,1.5E-05,125,Fail,50.93,22400000,56.97,6.54E-05,-74.91,63.05,114000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,5E-06,5E-06,27,Fail,50.76,19100000,72.33,6.05E-05,-83.88,73.58,95100,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,5E-06,5E-06,125,Fail,49.86,19200000,69.06,7.65E-05,-84.08,72.24,80900,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,5E-06,1E-05,27,Fail,51.13,18500000,61.23,6.04E-05,-74.31,75.25,90300,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,5E-06,1E-05,125,Fail,50.07,18500000,58.9,7.64E-05,-74.01,73.49,78000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,5E-06,1.5E-05,27,Fail,51.28,18400000,58.48,6.04E-05,-71.69,75.45,87700,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,5E-06,1.5E-05,125,Fail,50.12,17900000,56.25,7.64E-05,-71.2,73.56,76400,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1E-05,5E-06,27,Fail,51.34,19000000,73.16,5.36E-05,-85.43,70.45,103000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1E-05,5E-06,125,Fail,50.41,18700000,69.61,6.88E-05,-86.27,69.12,87200,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1E-05,1E-05,27,Fail,51.72,18600000,62.12,5.35E-05,-76,72.35,98000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1E-05,1E-05,125,Fail,50.63,18200000,59.45,6.86E-05,-76.25,70.55,83900,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1E-05,1.5E-05,27,Fail,51.87,18300000,59.4,5.35E-05,-73.42,72.6,95100,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1E-05,1.5E-05,125,Fail,50.69,17800000,56.84,6.86E-05,-73.42,70.65,82200,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1.5E-05,5E-06,27,Fail,51.57,19000000,73.47,5.1E-05,-86.28,68.31,107000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1.5E-05,5E-06,125,Fail,50.64,18700000,69.73,6.58E-05,-87.68,67.1,90300,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1.5E-05,1E-05,27,Fail,51.95,18600000,62.45,5.09E-05,-77.03,70.35,102000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1.5E-05,1E-05,125,Fail,50.86,18700000,59.56,6.56E-05,-77.74,68.6,87000,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1.5E-05,1.5E-05,27,Fail,52.1,18300000,59.74,5.09E-05,-74.48,70.64,98700,0,
2,5E-06,2.8E-07,2.8E-07,5E-06,3.5E-05,1.5E-05,1.5E-05,125,Fail,50.93,18100000,56.97,6.56E-05,-74.91,68.73,85100,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,5E-06,5E-06,27,Pass,50.76,32400000,72.33,6.01E-05,-83.88,49.72,464000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,5E-06,5E-06,125,Fail,49.86,33500000,69.06,7.57E-05,-84.08,48.14,395000,0,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,5E-06,1E-05,27,Pass,51.13,32000000,61.23,6.01E-05,-74.31,48.27,423000,1,
2,5E-06,2.8E-07,2.8E-07,1.5E-05,1.5E-05,5E-06,1E-05,125,Fail,50.07,32800000,58.89,7.58E-05,-74.02,47,365000,0,
