VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,2.50E-05,1.50E-05,1.00E-05,125,fail,50.87,2.55E+07,59.56,6.52E-05,-77.74,55.05,1.65E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,2.50E-05,1.50E-05,1.50E-05,27,fail,52.11,2.48E+07,59.74,5.07E-05,-74.48,55.94,1.85E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,2.50E-05,1.50E-05,1.50E-05,125,fail,50.93,2.53E+07,56.97,6.52E-05,-74.91,54.94,1.59E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,5.00E-06,5.00E-06,27,fail,50.76,2.33E+07,72.33,6.03E-05,-83.88,69.17,1.28E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,5.00E-06,5.00E-06,125,fail,49.86,2.36E+07,69.06,7.63E-05,-84.08,68.1,1.09E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,5.00E-06,1.00E-05,27,fail,51.13,2.29E+07,61.23,6.03E-05,-74.31,70.75,1.22E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,5.00E-06,1.00E-05,125,fail,50.07,2.30E+07,58.89,7.62E-05,-74.01,69.24,1.05E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,5.00E-06,1.50E-05,27,fail,51.28,2.26E+07,58.48,6.03E-05,-71.69,70.78,1.17E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,5.00E-06,1.50E-05,125,fail,50.12,2.27E+07,56.25,7.62E-05,-71.2,69.16,1.02E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.00E-05,5.00E-06,27,fail,51.34,2.31E+07,73.16,5.34E-05,-85.43,65.26,1.39E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.00E-05,5.00E-06,125,fail,50.41,2.33E+07,69.61,6.85E-05,-86.27,64.25,1.18E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.00E-05,1.00E-05,27,fail,51.72,2.28E+07,62.12,5.34E-05,-76,67.05,1.32E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.00E-05,1.00E-05,125,fail,50.63,2.30E+07,59.45,6.84E-05,-76.25,65.57,1.13E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.00E-05,1.50E-05,27,fail,51.87,2.24E+07,59.4,5.34E-05,-73.42,67.13,1.27E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.00E-05,1.50E-05,125,fail,50.69,2.26E+07,56.84,6.84E-05,-73.42,65.53,1.10E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.50E-05,5.00E-06,27,fail,51.57,2.29E+07,73.47,5.09E-05,-86.28,62.55,1.44E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.50E-05,5.00E-06,125,fail,50.64,2.31E+07,69.73,6.54E-05,-87.68,61.62,1.22E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.50E-05,1.00E-05,27,fail,51.95,2.26E+07,62.45,5.08E-05,-77.03,64.46,1.37E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.50E-05,1.00E-05,125,fail,50.87,2.28E+07,59.56,6.54E-05,-77.74,63.04,1.17E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.50E-05,1.50E-05,27,fail,52.11,2.23E+07,59.74,5.08E-05,-74.48,64.6,1.32E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.00E-05,1.50E-05,1.50E-05,125,fail,50.93,2.24E+07,56.97,6.54E-05,-74.91,63.05,1.14E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,5.00E-06,5.00E-06,27,fail,50.76,1.91E+07,72.33,6.05E-05,-83.88,73.58,9.51E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,5.00E-06,5.00E-06,125,fail,49.86,1.92E+07,69.06,7.65E-05,-84.08,72.24,8.09E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,5.00E-06,1.00E-05,27,fail,51.13,1.85E+07,61.23,6.04E-05,-74.31,75.25,9.03E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,5.00E-06,1.00E-05,125,fail,50.07,1.85E+07,58.9,7.64E-05,-74.01,73.49,7.80E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,5.00E-06,1.50E-05,27,fail,51.28,1.84E+07,58.48,6.04E-05,-71.69,75.45,8.77E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,5.00E-06,1.50E-05,125,fail,50.12,1.79E+07,56.25,7.64E-05,-71.2,73.56,7.64E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.00E-05,5.00E-06,27,fail,51.34,1.90E+07,73.16,5.36E-05,-85.43,70.45,1.03E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.00E-05,5.00E-06,125,fail,50.41,1.87E+07,69.61,6.88E-05,-86.27,69.12,8.72E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.00E-05,1.00E-05,27,fail,51.72,1.86E+07,62.12,5.35E-05,-76,72.35,9.80E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.00E-05,1.00E-05,125,fail,50.63,1.82E+07,59.45,6.86E-05,-76.25,70.55,8.39E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.00E-05,1.50E-05,27,fail,51.87,1.83E+07,59.4,5.35E-05,-73.42,72.6,9.51E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.00E-05,1.50E-05,125,fail,50.69,1.78E+07,56.84,6.86E-05,-73.42,70.65,8.22E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.50E-05,5.00E-06,27,fail,51.57,1.90E+07,73.47,5.10E-05,-86.28,68.31,1.07E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.50E-05,5.00E-06,125,fail,50.64,1.87E+07,69.73,6.58E-05,-87.68,67.1,9.03E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.50E-05,1.00E-05,27,fail,51.95,1.86E+07,62.45,5.09E-05,-77.03,70.35,1.02E+05
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.50E-05,1.00E-05,125,fail,50.86,1.87E+07,59.56,6.56E-05,-77.74,68.6,8.70E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.50E-05,1.50E-05,27,fail,52.1,1.83E+07,59.74,5.09E-05,-74.48,70.64,9.87E+04
2,5.00E-06,2.80E-07,2.80E-07,5.00E-06,3.50E-05,1.50E-05,1.50E-05,125,fail,50.93,1.81E+07,56.97,6.56E-05,-74.91,68.73,8.51E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,5.00E-06,5.00E-06,27,fail,50.76,3.24E+07,72.33,6.01E-05,-83.88,49.72,4.64E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,5.00E-06,5.00E-06,125,fail,49.86,3.35E+07,69.06,7.57E-05,-84.08,48.14,3.95E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,5.00E-06,1.00E-05,27,fail,51.13,3.20E+07,61.23,6.01E-05,-74.31,48.27,4.23E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,5.00E-06,1.00E-05,125,fail,50.07,3.28E+07,58.89,7.58E-05,-74.02,47,3.65E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,1.50E-05,5.00E-06,1.50E-05,27,fail,51.28,3.08E+07,58.48,6.01E-05,-71.69,46.38,3.93E+05
