Temp (0C),Sw.Freq.,MN,MP,M_DRVRN,M_DRVRP,RL(Ohms),No. Phases,Pass/Fail,Eff1(%),HSLoss(W),LSLoss(W),Pin(W),Pout(W),VDD(W),Closs(W),Lloss(W),,,,
27,1.00E+08,72,192,15,38,0.75,8,pass,86.41,6.54E-02,2.18E-02,1.774,1.541,9.53E-03,1.19E-05,6.61E-02,,,,
27,1.00E+08,75,200,16,40,0.75,8,pass,86.26,6.59E-02,2.23E-02,1.781,1.545,9.96E-03,1.07E-05,6.62E-02,,,,
27,1.00E+08,78,208,17,42,0.75,8,pass,86.11,6.66E-02,2.28E-02,1.787,1.548,1.04E-02,8.41E-06,6.63E-02,,,,
27,1.00E+08,16,42,3,8,1,8,fail,84.64,6.67E-02,3.85E-02,1.239,1.05,1.56E-03,8.24E-06,3.36E-02,,,,
27,1.00E+08,19,50,4,10,1,8,pass,85.61,5.93E-02,3.33E-02,1.254,1.075,2.02E-03,1.08E-05,3.44E-02,,,,
27,1.00E+08,22,58,5,12,1,8,pass,86.3,5.40E-02,2.93E-02,1.266,1.095,2.51E-03,1.53E-05,3.51E-02,,,,
27,1.00E+08,25,67,5,13,1,8,pass,86.8,4.98E-02,2.58E-02,1.278,1.112,2.93E-03,1.92E-05,3.57E-02,,,,
27,1.00E+08,28,75,6,15,1,8,pass,87.1,4.80E-02,2.34E-02,1.287,1.124,3.43E-03,1.97E-05,3.60E-02,,,,
27,1.00E+08,31,83,7,17,1,8,pass,87.28,4.60E-02,2.09E-02,1.296,1.135,3.94E-03,1.62E-05,3.64E-02,,,,
27,1.00E+08,34,92,7,18,1,8,pass,87.43,4.49E-02,1.93E-02,1.304,1.144,4.36E-03,1.92E-05,3.67E-02,,,,
27,1.00E+08,38,100,8,20,1,8,pass,87.5,4.39E-02,1.74E-02,1.312,1.152,4.98E-03,1.41E-05,3.71E-02,,,,
27,1.00E+08,41,108,9,22,1,8,pass,87.47,4.40E-02,1.66E-02,1.32,1.159,5.46E-03,1.10E-05,3.73E-02,,,,
27,1.00E+08,44,117,9,23,1,8,pass,87.41,4.35E-02,1.60E-02,1.327,1.165,5.80E-03,1.48E-05,3.74E-02,,,,
27,1.00E+08,47,125,10,25,1,8,pass,87.31,4.37E-02,1.57E-02,1.334,1.17,6.25E-03,9.28E-06,3.76E-02,,,,
27,1.00E+08,50,133,11,27,1,8,pass,87.21,4.37E-02,1.56E-02,1.34,1.174,6.70E-03,1.15E-05,3.78E-02,,,,
27,1.00E+08,53,142,11,28,1,8,pass,87.06,4.44E-02,1.58E-02,1.347,1.179,7.01E-03,1.10E-05,3.79E-02,,,,
27,1.00E+08,56,150,12,30,1,8,pass,86.88,4.49E-02,1.61E-02,1.353,1.182,7.46E-03,7.29E-06,3.80E-02,,,,
27,1.00E+08,59,158,13,32,1,8,pass,86.7,4.56E-02,1.65E-02,1.359,1.185,7.90E-03,3.03E-06,3.81E-02,,,,
